Date,Fighter,Sig. Str. Leg,Sig. Str. Leg Attempts,Opp Sig. Str. Leg,Opp Sig. Str. Leg Attempts,Sig. Str. Ground Landed,Sig. Str. Ground Attempts,Opp Sig. Str. Ground Landed,Opp Sig. Str. Ground Attempts,Total Strikes Landed,Total Strikes Attempts,Opp Total Strikes Landed,Opp Total Strikes Attempts,Total Takedowns Landed,Total Takedowns Attempts,Opp Total Takedowns Landed,Opp Total Takedowns Attempts,Submission Total Attempts,Opp Submission Total Attempts,Takedown %,Opp Takedown %,Sig. Str. Leg %,Opp Sig. Str. Leg %,Sig. Str. Ground %,Opp Sig. Str. Ground %,Total Strikes %,Opp Total Strikes %,KnockDown Total,Opp KnockDown Total,KnockDown Total Difference,Ground Time,Opp Ground Time,Standing Time,Opp Standing Time,Dominant Positions,Opp Dominant Positions,Top Strike Speed,Opp Top Strike Speed,Height,Weight,Reach,Leg Reach,Points,Inner Zone,Opp Inner Zone,Outer Zone,Opp Outer Zone,Sig. Str. Per KnockDown,Opp Sig. Str. Per KnockDown,Sig. Str. Punches Diff,Sig. Str. Diff,Sig. Str. Leg Diff,Sig. Str. Ground Diff,Odds,Total Wins,Win
6/7/2018 0:00,Francimar Barroso,7,7,0,0,0,0,0,0,29,48,13,41,0,0,0,0,0,0,0,0,1,0,0,0,0.604166667,0.317073171,0,0,0,0,0,5,5,0,0,0,0,"6'1""",265,75,42.5,6,0,0,0,0.702,0,0,0,0.287093496,nan,0,-335,1,1
6/7/2018 0:00,Daniel Gallemore,0,0,7,7,0,0,0,0,13,41,29,48,0,0,0,0,0,0,0,0,0,1,0,0,0.317073171,0.604166667,0,0,0,0,0,5,5,0,0,0,0,"6'5""",265,0,0,0,0,0,0.702,0,0,0,0,-0.287093496,nan,0,255,0,0
6/7/2018 0:00,Alexandre Almeida,0,0,2,3,4,4,0,0,7,8,4,7,1,1,0,0,0,0,1,0,0,0.666666667,1,0,0.875,0.571428571,0,0,0,4.29,4.29,0.31,0.31,1,0,0,0,"5'8""",145,69,42,3,0,0,0,0,0,0,nan,0.303571429,nan,nan,-2000,1,1
6/7/2018 0:00,Lee Coville,2,3,0,0,0,0,4,4,4,7,7,8,0,0,1,1,0,0,0,1,0.666666667,0,0,1,0.571428571,0.875,0,0,0,4.29,4.29,0.31,0.31,0,1,0,0,"5'8""",155,0,0,0,0,0,0,0,0,0,0,-0.303571429,nan,nan,1100,0,0
6/7/2018 0:00,Magomed Idrisov,1,2,0,1,13,13,0,1,31,60,7,29,1,2,0,0,0,0,0.5,0,0.5,0,1,0,0.516666667,0.24137931,1,0,1,1.48,1.48,3.12,3.12,0,1,0,0,"5'8""",145,0,0,0,0,0,0,0,31,0,nan,0.275287356,0.5,1,-2000,0,0
6/7/2018 0:00,Steven Siler,0,1,1,2,0,1,13,13,7,29,31,60,0,0,1,2,0,0,0,0.5,0,0.5,0,1,0.24137931,0.516666667,0,1,-1,1.48,1.48,3.12,3.12,0,0,0,0,"5'10""",145,69,41.5,6,0,0,0,0,0,31,0,-0.275287356,-0.5,-1,1100,1,1
6/7/2018 0:00,Caio Alencar,2,2,2,2,11,12,0,0,13,17,4,7,1,2,0,0,0,0,0.5,0,1,1,0.916666667,0,0.764705882,0.571428571,0,1,-1,2.43,2.43,2.17,2.17,0,0,0,0,"6'4""",265,0,0,0,0,0,0,0,0,4,nan,0.193277311,0,nan,-250,0,0
6/7/2018 0:00,Kelvin Tiller,2,2,2,2,0,0,11,12,4,7,13,17,0,0,1,2,0,0,0,0.5,1,1,0,0.916666667,0.571428571,0.764705882,1,0,1,2.43,2.43,2.17,2.17,0,0,0,0,6'0,265,74,43,6,0,0,0,0,4,0,0,-0.193277311,0,nan,190,1,1
6/7/2018 0:00,Marcos Galvao,9,15,3,6,6,6,4,7,61,140,62,159,0,1,1,3,0,0,0,0.333333333,0.6,0.5,1,0.571428571,0.435714286,0.389937107,0,3,-3,2.29,2.29,12.31,12.31,0,0,0,0,"5'7""",145,0,0,0,0,0,0,0,0,20.66666667,-0.333333333,0.045777179,0.1,0.428571429,110,0,0
6/7/2018 0:00,Nazareno Malegarie,3,6,9,15,4,7,6,6,62,159,61,140,1,3,0,1,0,0,0.333333333,0,0.5,0.6,0.571428571,1,0.389937107,0.435714286,3,0,3,2.29,2.29,12.31,12.31,0,0,0,0,"5'8""",145,0,0,3,0,0,0,0,20.66666667,0,0.333333333,-0.045777179,-0.1,-0.428571429,-140,1,1
